Gene,logFC,p-value,Group
CHRDL1,-2.3776276,0.00000e+00,F7: Fascia-like myofibroblast
SLFN5,-1.1541299,0.00000e+00,F7: Fascia-like myofibroblast
CHM,-1.476448,0.00000e+00,F7: Fascia-like myofibroblast
DDX60,-2.314822,0.00000e+00,F7: Fascia-like myofibroblast
ALKAL2,-5.489556,0.00000e+00,F7: Fascia-like myofibroblast
NCK1,-1.2193782,0.00000e+00,F7: Fascia-like myofibroblast
MACORIS,-2.7661245,0.00000e+00,F7: Fascia-like myofibroblast
SNHG1,-1.4589701,0.00000e+00,F7: Fascia-like myofibroblast
KPNA2,-1.1290469,0.00000e+00,F7: Fascia-like myofibroblast
DPYSL2,-0.71747684,0.00000e+00,F7: Fascia-like myofibroblast
PRKAG2-AS1,-3.6761076,0.00000e+00,F7: Fascia-like myofibroblast
RPS24,-0.35723463,0.00000e+00,F7: Fascia-like myofibroblast
DDX5,-0.51507837,0.00000e+00,F7: Fascia-like myofibroblast
ACSM5,-5.0507603,0.00000e+00,F7: Fascia-like myofibroblast
HPGD,-3.7838461,0.00000e+00,F7: Fascia-like myofibroblast
KCND3,-2.3332903,0.00000e+00,F7: Fascia-like myofibroblast
PSMA3-AS1,-5.156656,0.00000e+00,F7: Fascia-like myofibroblast
HUWE1,-1.1368665,0.00000e+00,F7: Fascia-like myofibroblast
C1RL,-1.2448276,0.00000e+00,F7: Fascia-like myofibroblast
ARHGAP18,-1.3624485,0.00000e+00,F7: Fascia-like myofibroblast
IGSF10,-1.818232,0.00000e+00,F7: Fascia-like myofibroblast
BCL2,-1.4248089,0.00000e+00,F7: Fascia-like myofibroblast
RTL8A,-1.1784155,0.00000e+00,F7: Fascia-like myofibroblast
SHE,-3.6132815,0.00000e+00,F7: Fascia-like myofibroblast
IFIH1,-2.3138518,0.00000e+00,F7: Fascia-like myofibroblast
RPL34,-0.4494272,0.00000e+00,F7: Fascia-like myofibroblast
SPRED1,-1.0267237,0.00000e+00,F7: Fascia-like myofibroblast
CMKLR1,-2.8169181,0.00000e+00,F7: Fascia-like myofibroblast
KCNE4,-1.3953182,0.00000e+00,F7: Fascia-like myofibroblast
RMRP,-3.2105799,0.00000e+00,F7: Fascia-like myofibroblast
RBIS,-0.73090065,0.00000e+00,F7: Fascia-like myofibroblast
TMEM185A,-1.7707672,0.00000e+00,F7: Fascia-like myofibroblast
TNFRSF1B,-3.1464841,0.00000e+00,F7: Fascia-like myofibroblast
SLC16A2,-1.8029672,0.00000e+00,F7: Fascia-like myofibroblast
MXD4,-0.96428573,0.00000e+00,F7: Fascia-like myofibroblast
DAB2IP,-1.6437712,0.00000e+00,F7: Fascia-like myofibroblast
CHST15,-1.8131433,0.00000e+00,F7: Fascia-like myofibroblast
ATF3,-0.7953998,0.00000e+00,F7: Fascia-like myofibroblast
MCL1,-0.7169291,0.00000e+00,F7: Fascia-like myofibroblast
TNIP2,-1.3491672,0.00000e+00,F7: Fascia-like myofibroblast
MBP,-1.6314473,0.00000e+00,F7: Fascia-like myofibroblast
CXCL16,-1.8286818,0.00000e+00,F7: Fascia-like myofibroblast
AHRR,-1.6339476,0.00000e+00,F7: Fascia-like myofibroblast
GBGT1,-3.4691634,0.00000e+00,F7: Fascia-like myofibroblast
NLGN4X,-1.9460592,0.00000e+00,F7: Fascia-like myofibroblast
SNHG3,-7.9533944,0.00000e+00,F7: Fascia-like myofibroblast
TMEM47,-1.3183633,0.00000e+00,F7: Fascia-like myofibroblast
PPFIBP2,-1.8401474,0.00000e+00,F7: Fascia-like myofibroblast
PURA,-0.9350346,0.00000e+00,F7: Fascia-like myofibroblast
S1PR3,-2.3519495,0.00000e+00,F7: Fascia-like myofibroblast
BCOR,-1.5407975,0.00000e+00,F7: Fascia-like myofibroblast
RTL8C,-0.8883315,0.00000e+00,F7: Fascia-like myofibroblast
TXLNG,-1.5832739,0.00000e+00,F7: Fascia-like myofibroblast
YPEL2,-1.1057644,0.00000e+00,F7: Fascia-like myofibroblast
TRIP10,-1.0545502,0.00000e+00,F7: Fascia-like myofibroblast
EDNRA,-1.125669,0.00000e+00,F7: Fascia-like myofibroblast
RNF113A,-1.979834,0.00000e+00,F7: Fascia-like myofibroblast
ARSG,-2.3399193,0.00000e+00,F7: Fascia-like myofibroblast
CFLAR,-0.96118593,0.00000e+00,F7: Fascia-like myofibroblast
MORC4,-1.315581,0.00000e+00,F7: Fascia-like myofibroblast
AC092691.1,-3.9288905,0.00000e+00,F7: Fascia-like myofibroblast
PANTR1,-5.07307,0.00000e+00,F7: Fascia-like myofibroblast
HS6ST1,-1.3795764,0.00000e+00,F7: Fascia-like myofibroblast
SLAMF8,-4.1810646,0.00000e+00,F7: Fascia-like myofibroblast
SNHG18,-0.9166197,0.00000e+00,F7: Fascia-like myofibroblast
COMP,4.210525,0.00000e+00,F_Fascia
H3F3A,-2.5364354,0.00000e+00,F_Fascia
OASL,-24.565426,0.00000e+00,F_Fascia
PTGES,-3.3836377,0.00000e+00,F_Fascia
HLA-DRB5,-6.5264173,0.00000e+00,F_Fascia
ZNF664,-24.396448,0.00000e+00,F_Fascia
RBFA,-24.40085,0.00000e+00,F_Fascia
SNHG3,-24.400137,0.00000e+00,F_Fascia
THAP9-AS1,-24.468143,0.00000e+00,F_Fascia
PPDPFL,-24.615866,0.00000e+00,F_Fascia
OLFM2,-2.9423215,0.00000e+00,F_Fascia
S1PR2,-24.3749,0.00000e+00,F_Fascia
DCUN1D3,-24.368233,0.00000e+00,F_Fascia
CEBPB,-2.2671218,0.00000e+00,F_Fascia
ANKFN1,-4.498861,0.00000e+00,F_Fascia
HSPB3,-5.0309105,0.00000e+00,F_Fascia
CEBPD,-2.3521774,0.00000e+00,F_Fascia
S100A3,-24.328276,0.00000e+00,F_Fascia
FMO3,-7.444691,0.00000e+00,F_Fascia
DUSP4,-3.9222167,0.00000e+00,F_Fascia
RPL39,-2.1731339,0.00000e+00,F_Fascia
MICA,-6.1952186,0.00000e+00,F_Fascia
SSTR2,-7.591257,0.00000e+00,F_Fascia
ENHO,-6.2813177,0.00000e+00,F_Fascia
TWIST2,-2.5902717,0.00000e+00,F_Fascia
GSTM2,-24.508173,0.00000e+00,F_Fascia
ZBED1,-24.678696,0.00000e+00,F_Fascia
STC2,-4.273368,0.00000e+00,F_Fascia
AC079467.1,-24.58481,0.00000e+00,F_Fascia
CLEC3B,-24.93043,0.00000e+00,F_Fascia
ADH1B,-4.1936655,0.00000e+00,F_Fascia
ABCA8,-4.167191,0.00000e+00,F_Fascia
IL24,-25.720598,0.00000e+00,F_Fascia
SEMA5A,-3.9320676,0.00000e+00,F_Fascia
HS3ST6,-6.28881,0.00000e+00,F_Fascia
SUMO2,-2.770568,0.00000e+00,F_Fascia
ACVRL1,-3.5679119,0.00000e+00,F_Fascia
KRTDAP,-24.675388,0.00000e+00,F_Fascia
PSMA3-AS1,-24.651537,0.00000e+00,F_Fascia
SPRY1,-3.1491876,0.00000e+00,F_Fascia
GGT5,-3.2545283,0.00000e+00,F_Fascia
F10,-3.5150123,0.00000e+00,F_Fascia
CD200R1,-24.653616,0.00000e+00,F_Fascia
ADAMTS1,-3.03066,0.00000e+00,F_Fascia
XIST,-4.111786,0.00000e+00,F_Fascia
CYP7B1,-2.839033,0.00000e+00,F_Fascia
CLEC2A,-4.3097906,0.00000e+00,F_Fascia
TNFSF13B,-4.1971235,0.00000e+00,F_Fascia
AHR,-2.7007778,0.00000e+00,F_Fascia
AL133330.1,-24.366533,0.00000e+00,F_Fascia
MOXD1,-3.2410612,0.00000e+00,F_Fascia
PAX1,-6.1056724,0.00000e+00,F_Fascia
ACSM5,-6.1550665,0.00000e+00,F_Fascia
PCDHGC3,-23.760048,0.00000e+00,F_Fascia
HCG18,-5.8495073,0.00000e+00,F_Fascia
TRIM52-AS1,-23.798819,0.00000e+00,F_Fascia
STARD10,-23.803486,0.00000e+00,F_Fascia
NOTCH2NLA,-23.77642,0.00000e+00,F_Fascia
TMEM80,-23.765196,0.00000e+00,F_Fascia
KRT2,-23.491709,0.00000e+00,F_Fascia
PIGBOS1,-23.809475,0.00000e+00,F_Fascia
TMEM42,-23.716883,0.00000e+00,F_Fascia
AC008945.1,-24.261845,0.00000e+00,F_Fascia
AC016831.1,-23.796728,0.00000e+00,F_Fascia
MRPL30,-23.684471,0.00000e+00,F_Fascia
ATXN1L,-23.702732,0.00000e+00,F_Fascia
REPIN1,-23.686588,0.00000e+00,F_Fascia
GGPS1,-23.720856,0.00000e+00,F_Fascia
CLCC1,-23.675623,0.00000e+00,F_Fascia
LCNL1,-23.61927,0.00000e+00,F_Fascia
HIST2H2AA4,-23.988152,0.00000e+00,F_Fascia
NRARP,-23.6954,0.00000e+00,F_Fascia
HOXB4,-23.668917,0.00000e+00,F_Fascia
AC060780.1,-23.671879,0.00000e+00,F_Fascia
SLC35F6,-23.65207,0.00000e+00,F_Fascia
NSMCE3,-24.70469,0.00000e+00,F_Fascia
LINC02605,-24.25313,0.00000e+00,F_Fascia
HERC5,-4.903495,0.00000e+00,F_Fascia
FP236383.3,-2.6799195,0.00000e+00,F_Fascia
PTPMT1,-24.109436,0.00000e+00,F_Fascia
WNT10A,-24.309801,0.00000e+00,F_Fascia
BEND5,-24.130138,0.00000e+00,F_Fascia
AL078604.2,-24.400013,0.00000e+00,F_Fascia
KRT5,-24.443151,0.00000e+00,F_Fascia
BORCS8,-24.095076,0.00000e+00,F_Fascia
HLA-F,-3.131804,0.00000e+00,F_Fascia
AC034206.1,-5.2082477,0.00000e+00,F_Fascia
TDO2,-5.5742064,0.00000e+00,F_Fascia
AL391807.1,-24.02047,0.00000e+00,F_Fascia
COL23A1,-3.4355214,0.00000e+00,F_Fascia
SYNJ2BP,-24.12472,0.00000e+00,F_Fascia
S100A8,-24.465776,0.00000e+00,F_Fascia
TFAP2C,-4.517921,0.00000e+00,F_Fascia
TMEM200C,-24.008501,0.00000e+00,F_Fascia
UNC119,-24.02339,0.00000e+00,F_Fascia
KRT1,-5.71013,0.00000e+00,F_Fascia
ADGRB3,-4.619444,0.00000e+00,F_Fascia
EID3,-24.01251,0.00000e+00,F_Fascia
MRPS17,-23.94961,0.00000e+00,F_Fascia
CXCL6,-24.48681,0.00000e+00,F_Fascia
