Gene,logFC,p-value,Group
GABARAPL2,1.7437463,0.00000e+00,F8: Fascia-like myofibroblast
ACAN,3.4867,0.00000e+00,F8: Fascia-like myofibroblast
CAPG,2.2524354,0.00000e+00,F8: Fascia-like myofibroblast
CTHRC1,1.7153925,0.00000e+00,F8: Fascia-like myofibroblast
ACTA2,3.170795,0.00000e+00,F8: Fascia-like myofibroblast
PLAU,2.717268,0.00000e+00,F8: Fascia-like myofibroblast
DGKI,2.9079242,0.00000e+00,F8: Fascia-like myofibroblast
LGALS1,1.4059808,0.00000e+00,F8: Fascia-like myofibroblast
SPAG9,1.8210143,0.00000e+00,F8: Fascia-like myofibroblast
TRIO,1.8690945,0.00000e+00,F8: Fascia-like myofibroblast
ARL4C,2.1018853,0.00000e+00,F8: Fascia-like myofibroblast
ATP1B1,3.2165797,0.00000e+00,F8: Fascia-like myofibroblast
CSRP2,1.9630514,0.00000e+00,F8: Fascia-like myofibroblast
HTRA1,1.3662772,0.00000e+00,F8: Fascia-like myofibroblast
LRRFIP1,1.739903,0.00000e+00,F8: Fascia-like myofibroblast
TAGLN2,1.4626133,0.00000e+00,F8: Fascia-like myofibroblast
TNFRSF12A,1.824729,0.00000e+00,F8: Fascia-like myofibroblast
PLPP4,2.7088833,0.00000e+00,F8: Fascia-like myofibroblast
GPC6,2.1918013,0.00000e+00,F8: Fascia-like myofibroblast
ARPC2,1.3665786,0.00000e+00,F8: Fascia-like myofibroblast
CALD1,1.1833436,0.00000e+00,F8: Fascia-like myofibroblast
NCAM1,3.6327353,0.00000e+00,F8: Fascia-like myofibroblast
ACTB,1.2748365,0.00000e+00,F8: Fascia-like myofibroblast
ENAH,1.5476233,0.00000e+00,F8: Fascia-like myofibroblast
CFL1,1.2400322,0.00000e+00,F8: Fascia-like myofibroblast
TPM2,1.6332642,0.00000e+00,F8: Fascia-like myofibroblast
NBL1,1.4518698,0.00000e+00,F8: Fascia-like myofibroblast
ENO1,1.3985786,0.00000e+00,F8: Fascia-like myofibroblast
CRY1,2.0596657,0.00000e+00,F8: Fascia-like myofibroblast
LOXL2,1.716715,0.00000e+00,F8: Fascia-like myofibroblast
PGM2L1,2.620942,0.00000e+00,F8: Fascia-like myofibroblast
FNDC1,2.2222972,0.00000e+00,F8: Fascia-like myofibroblast
MYL9,1.4720716,0.00000e+00,F8: Fascia-like myofibroblast
ANGPTL2,1.8625422,0.00000e+00,F8: Fascia-like myofibroblast
TMED9,1.4776655,0.00000e+00,F8: Fascia-like myofibroblast
EVI2A,3.837005,0.00000e+00,F8: Fascia-like myofibroblast
SYCE1L,2.8354263,0.00000e+00,F8: Fascia-like myofibroblast
ITGA10,3.3948631,0.00000e+00,F8: Fascia-like myofibroblast
AKAP13,1.4193492,0.00000e+00,F8: Fascia-like myofibroblast
GOLIM4,1.6330067,0.00000e+00,F8: Fascia-like myofibroblast
PFN1,1.2055415,0.00000e+00,F8: Fascia-like myofibroblast
ACTN1,1.490603,0.00000e+00,F8: Fascia-like myofibroblast
CTSB,1.3845613,0.00000e+00,F8: Fascia-like myofibroblast
PTPRD,2.4800363,0.00000e+00,F8: Fascia-like myofibroblast
LSP1,1.9702451,0.00000e+00,F8: Fascia-like myofibroblast
UBE2E1,1.6646061,0.00000e+00,F8: Fascia-like myofibroblast
CD70,3.7735188,0.00000e+00,F8: Fascia-like myofibroblast
KCNMA1,2.710709,0.00000e+00,F8: Fascia-like myofibroblast
RPLP2,0.77414787,0.00000e+00,F8: Fascia-like myofibroblast
PSD3,1.5101352,0.00000e+00,F8: Fascia-like myofibroblast
RABAC1,1.075763,0.00000e+00,F8: Fascia-like myofibroblast
RLF,1.7547435,0.00000e+00,F8: Fascia-like myofibroblast
COMP,4.210525,0.00000e+00,F_Fascia
THBS4,4.40946,0.00000e+00,F_Fascia
SFRP4,3.40453,0.00000e+00,F_Fascia
LHFPL6,2.1232116,0.00000e+00,F_Fascia
MALAT1,1.4320302,0.00000e+00,F_Fascia
CD9,2.1785376,0.00000e+00,F_Fascia
DKK3,2.2870576,9.25140e-296,F_Fascia
S100A4,1.3086138,5.85341e-273,F_Fascia
CADM1,2.176897,5.30988e-269,F_Fascia
PRELP,2.887861,6.34642e-254,F_Fascia
CDH13,2.5596805,5.14599e-245,F_Fascia
AQP1,2.337244,4.81833e-232,F_Fascia
RPL13A,1.1519212,1.31427e-228,F_Fascia
IGFBP6,3.0464706,4.58461e-223,F_Fascia
MGP,1.5463631,3.91201e-222,F_Fascia
ADIRF,1.6110848,4.83297e-221,F_Fascia
P4HA3,2.2837029,3.54040e-212,F_Fascia
C1QTNF3,2.0839648,1.62222e-209,F_Fascia
ASPN,2.6145942,3.80886e-202,F_Fascia
CAMK1D,1.7553657,1.80116e-189,F_Fascia
MFGE8,1.87796,1.41778e-186,F_Fascia
CCN3,3.5656614,2.51623e-176,F_Fascia
OAF,2.4430404,1.25255e-174,F_Fascia
FNDC1,2.085148,4.04652e-172,F_Fascia
RPS17,1.1515987,7.89024e-170,F_Fascia
CILP2,3.7344131,1.60466e-167,F_Fascia
FMOD,1.6823578,6.69676e-165,F_Fascia
SPON2,1.3979038,1.63350e-165,F_Fascia
RPS20,1.0986509,3.46266e-164,F_Fascia
COL14A1,1.3307773,4.01291e-160,F_Fascia
FN1,1.2343749,9.44314e-159,F_Fascia
ACTB,0.9640067,1.86057e-155,F_Fascia
AEBP1,1.1160355,2.48829e-151,F_Fascia
PDGFRL,1.6489707,4.77996e-149,F_Fascia
TM4SF1,3.8058374,2.14928e-148,F_Fascia
FOXP1,1.3789443,4.57002e-139,F_Fascia
COL12A1,1.3222148,1.57157e-137,F_Fascia
GABARAPL2,1.3936877,1.37817e-136,F_Fascia
SOX5,3.2607954,3.51614e-135,F_Fascia
ACAN,2.1666877,1.08143e-134,F_Fascia
PSD3,1.4335655,2.75442e-134,F_Fascia
KCNMA1,2.2064831,1.01012e-133,F_Fascia
SEMA3C,1.8370051,2.84143e-129,F_Fascia
ANGPTL2,1.6013712,4.54226e-129,F_Fascia
SCRG1,4.4375377,9.69664e-128,F_Fascia
RPL31,0.93275666,3.76181e-127,F_Fascia
HIP1,1.7547174,1.46569e-126,F_Fascia
TGFBI,1.3531042,1.92866e-126,F_Fascia
CRIP1,1.2102804,2.99965e-126,F_Fascia
NDFIP1,1.2824308,1.03616e-125,F_Fascia
NBL1,1.1857702,4.84874e-123,F_Fascia
BMPR1B,2.7216666,5.10726e-120,F_Fascia
CLU,1.9845396,6.31332e-120,F_Fascia
PRG4,4.7547364,2.83543e-118,F_Fascia
PDLIM3,1.6149781,9.17000e-115,F_Fascia
PIEZO2,2.0392423,4.48394e-112,F_Fascia
CRISPLD1,2.1913798,1.08762e-111,F_Fascia
IGF1,1.823736,7.11699e-109,F_Fascia
PTGIS,1.9920648,8.20805e-107,F_Fascia
MATN2,2.3173106,1.09819e-106,F_Fascia
DGKI,1.85427,3.96071e-105,F_Fascia
NIBAN1,1.6868916,9.25474e-105,F_Fascia
PLPP1,1.1459891,9.55363e-105,F_Fascia
LUM,1.009897,1.21190e-104,F_Fascia
MT1X,1.2483386,3.27123e-101,F_Fascia
PDLIM5,1.4886847,2.07686e-97,F_Fascia
RPL7,0.83851016,2.79900e-97,F_Fascia
CCN5,1.6571542,1.09651e-96,F_Fascia
ENPP1,2.4653409,1.80472e-95,F_Fascia
MMP2,0.8247049,1.34497e-95,F_Fascia
CCN2,1.587395,2.53289e-95,F_Fascia
PTN,1.4422106,8.05698e-95,F_Fascia
RPL27A,0.7721324,5.31254e-94,F_Fascia
LIMA1,1.0979769,3.84734e-92,F_Fascia
CRTAC1,4.6007614,4.12027e-91,F_Fascia
SULF1,1.7308729,4.50670e-91,F_Fascia
MTSS1,2.0351002,4.97643e-91,F_Fascia
DPP4,1.6044074,4.77403e-89,F_Fascia
ANGPTL7,7.8115973,1.26678e-88,F_Fascia
CAPG,1.3091903,1.05314e-88,F_Fascia
CCPG1,1.2548851,1.15396e-88,F_Fascia
EZR,2.2224233,1.64055e-88,F_Fascia
THBS3,1.6330616,2.13615e-88,F_Fascia
GALNT15,2.3800054,3.99904e-87,F_Fascia
FXYD6,1.7433507,1.55697e-86,F_Fascia
EDIL3,1.1539118,1.89576e-86,F_Fascia
RBP4,2.9855456,2.02794e-84,F_Fascia
ADK,1.2636675,1.63351e-84,F_Fascia
DLC1,1.1641797,1.42598e-83,F_Fascia
ANKH,1.6323258,2.65514e-83,F_Fascia
RETREG1,1.4935449,4.76988e-83,F_Fascia
UACA,1.4934962,4.87864e-83,F_Fascia
CPXM2,2.2270007,7.33126e-83,F_Fascia
CNN3,0.86480355,9.16399e-82,F_Fascia
PPP3CA,1.1560755,2.61906e-81,F_Fascia
GALNT18,2.6094947,1.88887e-80,F_Fascia
ACTG1,0.665369,2.58931e-80,F_Fascia
CDO1,2.9316754,7.27330e-80,F_Fascia
ELMO1,2.0210888,3.49995e-77,F_Fascia
COL8A1,1.4285455,8.53552e-77,F_Fascia
